,prices,rarity,mana_cost,colors,set
21868,0.05,common,{1}{G},['G'],wth
21869,0.17,rare,{10}{B},['B'],und
21870,1.76,rare,{1}{W},['W'],mrd
21871,0.20,uncommon,{3}{G},['G'],usg
21872,5.01,rare,{4}{G}{G},['G'],bok
21873,0.07,common,{2}{G/W}{G/W},"['G', 'W']",shm
21874,0.03,common,{2}{B},['B'],cmr
21875,0.05,uncommon,{U/R}{U/R}{U/R}{U/R},"['R', 'U']",eld
21876,0.13,common,{1},[],cns
21877,0.27,rare,{3}{W}{W}{W},['W'],cm2
21878,0.08,uncommon,{2}{R}{R},['R'],m14
21879,0.99,rare,{6}{W},['W'],akh
21880,0.13,rare,{3}{W}{U},"['U', 'W']",bfz
21881,0.10,common,{G},['G'],ema
21882,0.26,rare,{2}{W}{W}{B},"['B', 'W']",gpt
21883,0.13,uncommon,{3}{U},['U'],rix
21884,0.14,rare,{1}{W},['W'],jou
21885,2.09,common,,['R'],tc16
21886,5.33,rare,{6}{U},['U'],c16
21887,0.17,uncommon,{1}{U},['U'],frf
21888,0.04,common,{1}{W},['W'],jmp
21889,0.03,common,{3}{U}{U},['U'],nph
21890,0.10,common,{1}{R},['R'],inv
21891,0.25,common,{W},['W'],lgn
21892,1.47,rare,,[],5ed
21893,3.20,rare,{3}{G},['G'],cma
21894,0.09,common,{3}{G},['G'],pls
21895,0.12,common,,['R'],tbng
21896,1.10,rare,{5}{G}{W},"['G', 'W']",c17
21897,0.07,common,{3}{U},['U'],jmp
21898,0.14,rare,{1}{U}{U},['U'],und
21899,0.08,common,{2}{U},['U'],chk
21900,0.09,uncommon,{2}{U},['U'],ons
21901,0.20,uncommon,{2}{G},['G'],chk
21902,0.01,uncommon,{2}{R},['R'],c19
21903,0.15,uncommon,{2}{R}{R},['R'],emn
21904,0.08,common,{1}{W},['W'],csp
21905,0.09,uncommon,{1}{W},['W'],rix
21906,,common,,"['B', 'R']",tmid
21907,0.14,uncommon,{3}{W},['W'],ody
21908,0.07,uncommon,{4}{R/P},['R'],nph
21909,0.10,common,{2}{G},['G'],usg
21910,6.60,mythic,{3}{B}{G}{U},"['B', 'G', 'U']",dom
21911,0.07,uncommon,{1}{B}{B},['B'],rix
21912,4.45,rare,{3}{R}{R},['R'],mrd
21913,,common,,,amid
21914,0.07,common,{W}{B},"['B', 'W']",rna
21915,0.06,common,{1}{G},['G'],bfz
21916,19.50,mythic,{6}{G}{G},['G'],rix
21917,1.73,rare,{2}{U},['U'],mir
21918,0.18,common,{R},['R'],mh1
21919,0.08,rare,{B}{B}{B},['B'],mh2
21920,0.09,common,{4}{G}{G},['G'],hou
21921,0.14,uncommon,{1}{R}{R},['R'],afr
21922,2.06,uncommon,{G},['G'],scg
21923,0.04,common,{1}{W},['W'],con
21924,0.97,common,{1}{U},['U'],nph
21925,34.56,rare,{3},[],mrd
21926,0.15,rare,{2}{W}{U},"['U', 'W']",afc
21927,0.29,rare,{4},[],nem
21928,0.23,rare,{3}{B}{B},['B'],pcy
21929,3.02,mythic,,,ori
21930,,common,,['G'],tpca
21931,0.11,rare,{2}{R},['R'],afc
21932,0.01,common,{3}{U},['U'],m21
21933,0.96,uncommon,{0},[],2xm
21934,3.44,uncommon,{3}{B},['B'],cn2
21935,1.63,common,{B},['B'],m20
21936,0.39,common,{1}{R},['R'],lgn
21937,,common,,,astx
21938,8.15,rare,{1}{W}{W},['W'],bok
21939,0.12,common,{B},['B'],8ed
21940,0.72,rare,{4}{R},['R'],cm2
21941,,rare,{2}{G},['G'],psdg
21942,0.12,uncommon,{1}{B},['B'],m13
21943,0.05,uncommon,{3}{R},['R'],ktk
21944,0.27,uncommon,{1}{U} // {2}{B},"['B', 'U']",dgm
21945,0.09,common,{4},[],znc
21946,8.24,mythic,{2}{U},['U'],akh
21947,1.32,common,,[],opca
21948,1.58,rare,{W},['W'],m21
21949,0.19,uncommon,{1}{R},['R'],a25
21950,0.25,uncommon,{2}{R},['R'],nph
21951,0.20,rare,{2}{G},['G'],khc
21952,0.46,rare,{4}{W},['W'],fut
21953,0.05,common,{4}{G}{G},['G'],ths
21954,5.38,rare,{2}{W}{U},"['U', 'W']",c17
21955,0.36,uncommon,,[],c20
21956,,common,,,akhm
21957,0.17,common,{R},['R'],m10
21958,0.02,common,{1}{W},['W'],bfz
21959,6.61,rare,,[],pvan
21960,4.50,uncommon,{1},[],5dn
21961,0.18,rare,{2}{R},['R'],jmp
21962,0.10,uncommon,{3}{W},['W'],kld
21963,0.02,common,{3}{U}{R},"['R', 'U']",grn
21964,0.47,common,,[],mmq
21965,0.26,rare,{4}{G}{G}{W}{W},"['G', 'W']",cmd
21966,0.07,common,{1}{U},[],bfz
21967,0.37,common,{W},['W'],shm
21968,0.01,common,{4}{W},['W'],znr
21969,0.05,common,{2}{B},['B'],m10
21970,,rare,{4}{U}{U},['U'],tpr
21971,0.04,uncommon,{2}{W},['W'],mbs
21972,,rare,{R}{G}{W},"['G', 'R', 'W']",me2
21973,0.01,common,{5}{W},['W'],cmr
21974,0.15,rare,{2}{U}{U},['U'],mid
21975,0.03,common,{2}{U}{U},['U'],kld
21976,12.48,mythic,{W}{U}{B}{R}{G},"['B', 'G', 'R', 'U', 'W']",m15
21977,0.67,uncommon,{2},[],som
21978,,rare,{2}{G}{G},['G'],me1
21979,0.24,rare,{2}{U}{U},['U'],ody
21980,0.35,rare,{2}{U}{U},['U'],cmr
21981,0.44,rare,{1}{U},['U'],nph
21982,0.05,uncommon,{2}{G},['G'],soi
21983,0.01,common,{W},['W'],ori
21984,2.78,rare,{5}{U}{U},['U'],bok
21985,0.01,common,{U},['U'],m21
21986,1.95,rare,{4}{R},['R'],unh
21987,0.05,uncommon,{3},[],emn
21988,,rare,{1}{B}{B} // {1}{W}{W},"['B', 'W']",hho
21989,0.01,common,{1}{B},['B'],mid
21990,0.51,rare,,[],mic
21991,12.89,mythic,{7}{B}{B},['B'],jmp
21992,0.08,common,{1}{R},['R'],lrw
21993,0.27,common,{1}{U},['U'],pcy
21994,0.07,uncommon,{3}{B},['B'],aer
21995,1.01,rare,{1}{W},['W'],cma
21996,,uncommon,{1}{U}{U},['U'],y22
21997,0.06,common,{3}{G},['G'],zen
21998,0.39,rare,{X}{U}{U}{U},['U'],c14
21999,,uncommon,{1}{W},['W'],y22
22000,0.02,common,{5}{G},['G'],frf
22001,0.11,uncommon,{B}{B}{G}{G},"['B', 'G']",khc
22002,0.04,common,{1}{G},['G'],znr
22003,0.03,common,{1}{G},['G'],mh2
22004,0.37,rare,{4},[],ust
22005,0.19,rare,{2}{G},['G'],c20
22006,,mythic,{B}{R}{G}{W},"['B', 'G', 'R', 'W']",c16
22007,0.01,common,{2}{G},['G'],mid
22008,15.72,mythic,{2}{G}{W}{W},"['G', 'W']",uma
22009,0.14,uncommon,{R}{G},"['G', 'R']",gtc
22010,0.29,rare,{1}{W},['W'],lgn
22011,0.98,rare,{2}{G}{G},['G'],cmr
22012,0.03,common,{R},['R'],xln
22013,0.13,common,{2}{G},['G'],ugl
22014,0.07,uncommon,{1}{G},['G'],eld
22015,0.20,rare,{2}{W},['W'],c21
22016,0.10,uncommon,{2}{W},['W'],m20
22017,4.70,mythic,{2}{W}{B}{G},"['B', 'G', 'W']",cm2
22018,0.34,rare,{2}{R},['R'],rav
22019,5.75,rare,,,khm
22020,0.43,rare,{2}{G}{G},['G'],nem
22021,0.08,uncommon,{2}{G},['G'],ala
22022,0.14,common,{1}{W},['W'],scg
22023,11.58,mythic,{2}{B}{R},"['B', 'R']",bng
22024,0.15,uncommon,{3}{U}{B},"['B', 'U']",znc
22025,0.56,uncommon,{U}{B}{R},"['B', 'R', 'U']",c17
22026,0.58,common,,[],oe01
22027,0.20,common,{2}{G},['G'],lrw
22028,,mythic,{4}{U}{U},['U'],m19
22029,0.17,uncommon,{3}{R}{R},['R'],chk
22030,0.31,rare,{3},[],xln
22031,0.13,uncommon,{1}{B}{R},"['B', 'R']",ody
22032,0.06,uncommon,{U}{B},"['B', 'U']",dgm
22033,0.05,common,{U},['U'],mh1
22034,0.15,common,{2}{R},['R'],mmq
22035,0.62,uncommon,{4}{B}{R},"['B', 'R']",c16
22036,0.72,rare,{2}{R}{R},['R'],chk
22037,0.18,common,{2}{U},['U'],unh
22038,1.71,rare,{3}{W},['W'],dis
22039,0.01,common,{5}{B},['B'],khm
22040,,rare,{7}{R}{R},['R'],me3
22041,0.09,rare,{5}{G}{U},"['G', 'U']",cmr
22042,0.01,common,{5}{U},['U'],m21
22043,0.01,common,{5}{B}{B},['B'],m21
22044,0.25,rare,{3}{R},['R'],pcy
22045,0.08,common,{4}{B},['B'],dis
22046,,rare,,[],pmoa
22047,0.08,common,{2}{R},['R'],fut
22048,0.53,rare,{2}{U}{U},['U'],c19
22049,0.21,rare,{3}{W}{W},['W'],khc
22050,2.32,uncommon,{1}{G},['G'],9ed
22051,0.03,common,{1}{W},['W'],afc
22052,0.05,uncommon,{3}{G},['G'],akh
22053,0.09,common,{2}{W},['W'],cns
22054,0.60,common,{B},['B'],afr
22055,0.25,common,{3},[],mrd
22056,,mythic,{3}{R}{W},"['R', 'W']",c21
22057,,common,,[],tdag
22058,2.50,rare,{3}{B},['B'],wth
22059,0.14,common,{2}{R},['R'],ulg
22060,0.36,rare,{3}{W}{W},['W'],jud
22061,0.10,uncommon,{1}{R},['R'],khm
22062,2.20,common,,[],opca
22063,0.05,common,{1}{G},['G'],frf
22064,0.24,rare,{2}{B}{B},['B'],inv
22065,0.17,rare,{6},[],8ed
22066,0.23,rare,{5}{R}{G},"['G', 'R']",gtc
22067,0.34,rare,{B}{B},['B'],mor
22068,0.48,uncommon,{2},[],mic
22069,0.12,rare,{1}{B},['B'],afc
22070,0.02,common,{1}{G},['G'],war
22071,,common,,[],wc03
22072,,rare,{2}{R},['R'],me2
22073,0.03,common,{4}{G},['G'],nph
22074,0.13,uncommon,{3}{G},['G'],chk
22075,0.11,common,{3}{R},['R'],csp
22076,0.02,common,{2}{W},['W'],akh
22077,0.25,uncommon,{1}{U},['U'],rav
22078,0.10,uncommon,{3}{B}{B},['B'],mbs
22079,0.01,uncommon,{3}{U},['U'],znr
22080,0.85,mythic,{2}{R},['R'],akh
22081,,mythic,{4}{U}{U},['U'],gn2
22082,0.07,common,{1}{B},['B'],dom
22083,0.06,common,{G},['G'],9ed
22084,16.58,mythic,{1}{B}{B},['B'],m21
22085,0.18,uncommon,{3}{W},['W'],ody
22086,0.01,common,{1}{U},['U'],mh2
22087,0.01,common,{1}{B},['B'],iko
22088,,common,,[],tc18
22089,,common,,,avow
22090,16.44,rare,,[],2xm
22091,0.11,uncommon,{2}{U},['U'],nph
22092,0.08,common,{3}{U},['U'],dis
22093,4.03,common,,"['B', 'W']",tsoi
22094,1.44,rare,{3}{B}{B},['B'],c14
22095,9.83,rare,{3}{W}{W},['W'],mmq
22096,0.02,common,{4}{B},['B'],akh
22097,5.25,rare,{2}{G},['G'],soi
22098,2.12,mythic,{1}{W},['W'],frf
22099,0.05,common,{2},[],m19
22100,0.07,common,{1}{R},['R'],mma
22101,0.07,common,{4}{B},['B'],c15
22102,0.10,rare,{2}{G}{G},['G'],stx
22103,0.01,uncommon,{2}{B},['B'],cmr
22104,2.30,rare,{G}{G}{G}{G}{G},['G'],m19
22105,0.23,common,{R},['R'],ddk
22106,2.53,rare,{3}{W}{W},['W'],bbd
22107,0.58,uncommon,{3}{W}{W},['W'],por
22108,0.21,common,{3}{G},['G'],nem
22109,0.06,common,{1}{B},['B'],pcy
22110,0.02,common,{3}{W},['W'],xln
22111,3.42,rare,{G},['G'],cmd
22112,0.03,common,{4}{B},['B'],m14
22113,0.11,rare,{5}{R}{R},['R'],c19
22114,0.01,common,{1}{G} // {G},['G'],eld
22115,0.07,uncommon,{3}{U},['U'],rtr
22116,0.01,common,{4}{R},['R'],dtk
22117,0.01,common,{U},['U'],ths
22118,0.01,common,{2}{U},['U'],znr
22119,0.11,uncommon,{1},[],8ed
22120,0.05,common,{3}{U},['U'],fut
22121,0.17,uncommon,{U},['U'],eld
22122,1.52,rare,{G}{U}{R},"['G', 'R', 'U']",ktk
22123,0.25,common,{1}{B},['B'],fut
22124,0.29,uncommon,{1}{G},['G'],jud
22125,0.35,uncommon,{2}{R},['R'],2xm
22126,0.02,common,{2}{W},['W'],mm3
22127,,uncommon,{3}{G},['G'],me1
22128,0.12,uncommon,{3}{R},['R'],evg
22129,3.48,common,{R},['R'],shm
22130,0.02,common,{R},['R'],gtc
22131,0.15,common,{1},[],som
22132,1.24,rare,{W}{B},"['B', 'W']",ogw
22133,,common,{1}{B}{B},['B'],me2
22134,3.95,rare,{6}{G},['G'],m13
22135,0.11,uncommon,{3}{U}{U},['U'],cn2
22136,0.01,common,{2}{R},['R'],m21
22137,0.07,common,{3}{G},['G'],w17
22138,19.63,uncommon,{2}{B}{B},['B'],hop
22139,0.03,common,{4}{B},['B'],ori
22140,0.08,rare,{2}{G}{U},"['G', 'U']",c19
22141,0.01,common,{B},['B'],iko
22142,0.95,rare,{4}{B}{B},['B'],cmb2
22143,0.20,common,,[],ogw
22144,0.03,uncommon,{2},[],cmr
22145,,common,{2}{R}{R},['R'],tpr
22146,0.23,rare,{3}{U},['U'],dtk
22147,0.02,common,{3}{B}{B},['B'],tsr
22148,0.55,common,{2}{G},['G'],c18
22149,1.03,rare,{2}{B},['B'],ddq
22150,0.28,common,{1}{G},['G'],tsp
22151,,common,,,amh2
22152,0.01,common,{1}{R},['R'],mid
22153,0.01,common,{1}{U},['U'],hou
22154,0.29,common,{1}{U},['U'],hml
22155,0.32,rare,{3}{G},['G'],cmr
22156,0.47,uncommon,{1}{G},['G'],mh1
22157,0.63,rare,,[],c21
22158,0.05,common,{3}{U},['U'],ori
22159,0.01,common,{2}{U},['U'],vow
22160,62.78,rare,{1}{W},['W'],shm
22161,7.54,uncommon,{U},['U'],leg
22162,0.06,common,{5}{U},['U'],mma
22163,0.47,rare,{3}{G},['G'],tsr
22164,0.10,uncommon,{2}{B},['B'],dst
22165,0.21,rare,{3}{G},['G'],c20
22166,0.11,common,{1}{W},['W'],mir
22167,0.51,rare,{4}{W}{B},"['B', 'W']",rna
22168,0.02,common,{1}{W},['W'],ths
22169,5.19,rare,{2}{U}{U},['U'],mid
22170,,rare,{2}{G},['G'],ptk
22171,0.08,common,{5}{W},['W'],a25
22172,2.62,mythic,{3}{B}{R},"['B', 'R']",roe
22173,0.89,mythic,{3}{B},['B'],c16
22174,,mythic,{4}{B}{B},['B'],rna
22175,0.05,uncommon,{1}{G}{U},"['G', 'U']",kld
22176,0.01,uncommon,{3}{B},['B'],vow
22177,5.40,mythic,{1}{G}{U},"['G', 'U']",rix
22178,0.13,common,{1}{R},['R'],unh
22179,0.37,rare,{1}{R}{R},['R'],10e
22180,,rare,{3}{U},['U'],hho
22181,,rare,,,sld
22182,0.21,rare,{X}{X}{G}{G},['G'],afc
22183,10.87,uncommon,{1}{G},['G'],ody
22184,,mythic,,,ptg
22185,15.03,rare,,[],m15
22186,0.13,uncommon,{2}{G}{G}{G},['G'],eve
22187,0.08,common,{2}{R},['R'],9ed
22188,0.09,uncommon,{2}{R/G}{R/G},"['G', 'R']",iko
22189,0.20,uncommon,{2}{W}{W},['W'],mh1
22190,0.03,uncommon,{U}{R},"['R', 'U']",cmr
22191,0.03,uncommon,{2},[],eld
22192,0.01,common,{3}{G},['G'],m19
22193,0.37,common,{1}{U}{U},['U'],ddi
22194,0.01,uncommon,{1}{R},['R'],tsr
22195,0.14,uncommon,{2}{G}{G},['G'],inv
22196,0.06,common,{1}{U},['U'],ice
22197,0.01,uncommon,{4},[],cmr
22198,0.35,common,{U},['U'],c18
22199,0.67,uncommon,{1}{R},['R'],afr
22200,0.04,common,{1}{U},['U'],soi
22201,,common,,,aznr
22202,0.23,rare,{2}{W},['W'],afc
22203,4.43,rare,{4}{W}{W},['W'],bok
22204,0.04,common,{2}{B},['B'],ktk
22205,3.09,rare,{X}{W}{W},['W'],thb
22206,9.80,rare,,[],pvan
22207,0.27,rare,{3}{R}{W},"['R', 'W']",rav
22208,0.26,uncommon,{W}{U},"['U', 'W']",ima
22209,,rare,{3}{G}{G},['G'],evg
22210,0.18,common,{X}{1}{B},['B'],5ed
22211,0.19,uncommon,{1}{R}{G},"['G', 'R']",akh
22212,0.05,common,{1}{R},['R'],m20
22213,0.02,common,{4}{B}{B},['B'],afr
22214,0.01,common,{3}{U},['U'],m12
22215,0.44,rare,{4}{U}{U}{U},['U'],nph
22216,0.04,common,{U},['U'],bng
22217,0.01,common,{3}{W},['W'],tsr
22218,0.08,uncommon,{1}{R},[],bfz
22219,0.09,common,{6}{G},['G'],chk
22220,,rare,,[],fjmp
22221,0.27,rare,{R}{G},"['G', 'R']",c20
22222,0.09,common,{1}{R},['R'],ons
22223,0.34,rare,{3}{U}{U},['U'],jud
22224,0.23,uncommon,{1}{G},['G'],frf
22225,0.70,rare,{1}{W},['W'],voc
22226,0.03,common,{3}{R},['R'],dka
22227,0.01,common,{2}{U},['U'],tsr
22228,,common,{X}{U}{U},['U'],past
22229,0.04,common,{1}{U},['U'],mbs
22230,,common,,,astx
22231,0.34,rare,{4}{B}{B},['B'],mmq
22232,0.03,common,{1}{R},['R'],dka
22233,0.01,uncommon,{1}{W}{U},"['U', 'W']",khm
22234,0.19,uncommon,{2}{R}{R},['R'],csp
22235,0.10,common,{1}{U}{U},['U'],mh1
22236,0.45,rare,{2}{B}{B},['B'],khm
22237,0.11,uncommon,{3}{W}{W},['W'],ons
22238,14.55,mythic,{3}{R},['R'],2xm
22239,,rare,{2}{B}{B}{B},['B'],me3
22240,0.03,common,{1}{W},['W'],frf
22241,0.12,common,{2},[],5ed
22242,2.09,uncommon,{2}{W},['W'],khm
22243,0.26,rare,,[],znc
22244,0.10,common,,['B'],tbbd
22245,0.06,common,{W},['W'],iko
22246,0.05,common,{2}{R},['R'],mrd
22247,1.20,rare,{1}{U}{U},['U'],mbs
22248,0.25,uncommon,{1}{G},['G'],bbd
22249,,common,{4}{W},['W'],me1
22250,0.02,common,{B},['B'],dom
22251,0.04,common,{2}{R},['R'],mor
22252,0.11,uncommon,{2}{G},['G'],nph
22253,0.07,common,{3}{R},['R'],nph
22254,0.16,common,{1}{R},['R'],roe
22255,0.12,uncommon,,,soi
22256,0.07,common,{4}{B}{B},['B'],ons
22257,0.39,rare,{5}{G}{G},['G'],dtk
22258,,common,,,astx
22259,18.95,rare,{3}{G},['G'],ulg
22260,0.14,uncommon,{1}{G},['G'],soi
22261,0.13,uncommon,{1}{B},['B'],bng
22262,0.01,common,{2}{G},['G'],khm
22263,,mythic,{2}{U}{B},"['B', 'U']",znc
22264,0.05,common,{2}{B},['B'],ody
22265,6.56,rare,{2}{B},['B'],c21
22266,0.16,rare,{3}{W}{W},['W'],jmp
22267,0.10,uncommon,{2}{G},['G'],ala
22268,5.71,mythic,{4}{U}{B}{B}{R},"['B', 'R', 'U']",ala
22269,4.83,uncommon,{1}{W}{W},['W'],c15
22270,0.09,common,{R},['R'],pls
22271,3.01,mythic,{1}{G}{W}{U},"['G', 'U', 'W']",m19
22272,0.11,common,{1}{U},['U'],unh
22273,0.03,common,{2}{U},['U'],emn
22274,8.70,mythic,{2}{U}{U},['U'],m21
22275,1.89,rare,{2}{R},['R'],war
22276,52.94,mythic,{12},[],2xm
22277,0.19,rare,{4},[],c13
22278,0.02,common,{3}{B},['B'],avr
22279,0.17,uncommon,,[],afc
22280,0.18,uncommon,{2}{U}{U},['U'],ody
22281,0.23,common,{R},['R'],ddt
22282,3.27,mythic,{5},[],ala
22283,0.10,uncommon,{2}{R},['R'],mmq
22284,0.08,uncommon,{2}{B}{B},['B'],jmp
22285,0.09,uncommon,{1}{U}{B},"['B', 'U']",afc
22286,0.23,uncommon,{1}{G},['G'],por
22287,0.12,uncommon,{1}{B}{R},"['B', 'R']",arb
22288,0.25,uncommon,{G},['G'],emn
22289,0.01,common,{U},['U'],znr
22290,1.83,uncommon,{2}{W},['W'],voc
22291,0.02,common,{4}{W},['W'],hou
22292,28.98,rare,{2}{W},['W'],wth
22293,0.35,common,{2}{G},['G'],c17
22294,,mythic,{U}{R},"['R', 'U']",c18
22295,0.44,common,,[],oe01
22296,0.02,common,{1}{G},['G'],stx
22297,2.14,common,{2}{U},['U'],tsp
22298,0.42,rare,{1}{R}{R},['R'],ori
22299,0.19,common,{W},['W'],chk
22300,0.04,common,{3}{W},['W'],dka
22301,0.01,common,{1},[],m21
22302,0.12,common,{1}{G},['G'],rna
22303,0.06,common,{3}{W},['W'],ori
22304,7.22,mythic,{1}{R}{G},"['G', 'R']",thb
22305,0.16,uncommon,{2}{B},['B'],soi
22306,0.08,common,{3}{W},['W'],ust
22307,0.01,common,{2}{U},['U'],m21
22308,0.09,common,{2}{B},['B'],ema
22309,,rare,{3}{G}{G}{W}{W},"['G', 'W']",me3
22310,0.07,common,{1}{R},['R'],rix
22311,0.19,uncommon,{U},['U'],uds
22312,0.06,common,{2}{W},['W'],emn
22313,0.05,common,{2}{B},['B'],soi
22314,0.10,uncommon,{2}{W},['W'],9ed
22315,0.11,uncommon,{1}{W},['W'],bng
22316,0.01,common,{1}{G},['G'],vow
22317,0.07,common,{3}{R},['R'],mor
22318,0.05,common,{1}{B},['B'],jou
22319,0.39,rare,{4}{R},['R'],c13
22320,0.12,common,,[],cmr
22321,0.18,rare,{5}{B/R},"['B', 'R']",ust
22322,0.10,common,{3}{G},['G'],m13
22323,0.06,uncommon,{1}{U},['U'],iko
22324,0.14,rare,{2}{G},['G'],gs1
22325,0.01,common,{2}{G},['G'],ths
22326,0.19,rare,{1}{U}{U},['U'],mm2
22327,40.73,mythic,{2}{U}{U},['U'],mh1
22328,16.42,uncommon,{3}{B}{B},['B'],ptk
22329,0.58,rare,,[],c21
22330,25.74,rare,{G},['G'],cc1
22331,,common,,,avow
22332,0.02,common,{2}{B},['B'],m20
22333,0.08,common,,[],cmr
22334,0.12,common,{3}{G}{G},['G'],pcy
22335,0.20,uncommon,{1}{W},['W'],inv
22336,0.05,common,{1}{U},['U'],tsr
22337,0.14,rare,{6}{B}{B}{B},['B'],und
22338,0.18,rare,{6}{B}{R},"['B', 'R']",voc
22339,0.01,common,{2}{U},['U'],m12
22340,1.05,common,{U},['U'],sth
22341,0.02,common,{4}{W},['W'],m15
22342,0.04,common,{4}{U}{U},['U'],akh
22343,4.16,rare,{2}{B}{B},['B'],eve
22344,0.01,common,{2}{U},['U'],cmr
22345,0.08,common,{R}{W},"['R', 'W']",gtc
22346,,rare,{B}{B},['B'],me4
22347,0.01,common,{2},[],2xm
22348,0.04,common,{3}{U}{U},['U'],grn
22349,0.50,rare,{2}{B},['B'],mic
22350,0.67,common,,['W'],thou
22351,0.10,uncommon,{4}{U},['U'],dtk
22352,,rare,{4}{W},['W'],me2
22353,,uncommon,{1}{W},['W'],tpr
22354,0.37,uncommon,{3}{G},['G'],ths
22355,0.02,common,{3}{U},['U'],rix
22356,0.06,common,{2}{B},['B'],nem
22357,0.13,common,{2}{W},['W'],mmq
22358,0.11,uncommon,{5}{W},['W'],chk
22359,0.26,common,{U},['U'],jud
22360,0.11,common,{1}{W},['W'],tsr
22361,0.15,rare,{X}{W}{W},['W'],c20
22362,0.60,rare,{3}{W/B}{W/B}{W/B},"['B', 'W']",eve
22363,0.09,common,{1}{U},['U'],ima
22364,0.13,common,{2}{W},['W'],cn2
22365,0.04,common,{W},['W'],avr
22366,,common,{R},['R'],sum
22367,,common,,,amid
22368,0.04,common,{2}{B},['B'],dtk
22369,0.11,common,{U},['U'],5ed
22370,0.02,common,{2}{U},[],ogw
22371,0.07,common,{1}{U},['U'],gs1
22372,0.66,mythic,{3}{W}{W}{U},"['U', 'W']",c18
22373,0.08,common,{3}{U},['U'],ddj
22374,0.31,rare,{4}{U}{U},['U'],dka
22375,0.16,uncommon,{4},[],vis
22376,0.01,common,{1}{W},['W'],znr
22377,0.04,common,{2}{W},['W'],soi
22378,0.02,common,{B/R}{B/R},"['B', 'R']",uma
22379,0.56,rare,,[],uma
22380,0.12,uncommon,{2}{B}{B},['B'],chk
22381,4.14,rare,,[],usg
22382,0.01,common,{3}{B},['B'],m20
22383,0.33,uncommon,{2}{B},['B'],tsr
22384,0.16,uncommon,{5}{B},['B'],dst
22385,1.14,mythic,{2}{B}{G}{U},"['B', 'G', 'U']",iko
22386,0.30,rare,{2}{B}{B},['B'],mbs
22387,0.10,common,{3},[],dgm
22388,0.03,common,{2}{B},['B'],jmp
22389,0.14,rare,{3}{R},['R'],jmp
22390,0.13,rare,{2}{U}{U},['U'],mic
22391,0.19,rare,{4}{R},['R'],plc
22392,0.10,uncommon,,,mid
22393,0.03,uncommon,{4}{R}{R},['R'],2xm
22394,0.16,common,{R}{G},"['G', 'R']",mh2
22395,0.11,common,{1}{W},['W'],mm2
22396,0.10,uncommon,{3}{W},['W'],grn
22397,0.09,uncommon,{3}{B}{B},['B'],xln
22398,0.10,uncommon,{1}{G},['G'],inv
22399,0.08,uncommon,{3}{B},['B'],jmp
22400,0.17,common,{1}{G},['G'],uma
22401,0.22,uncommon,{3}{W},['W'],unh
22402,0.99,mythic,{G}{G}{W}{W},"['G', 'W']",c19
22403,0.25,uncommon,{3}{W},['W'],apc
22404,0.23,rare,{1}{W},['W'],ori
22405,4.05,mythic,{3}{R}{R},['R'],ima
22406,0.24,rare,{7},[],cm2
22407,0.09,rare,{1}{U},['U'],znr
22408,0.58,rare,{2},[],c16
22409,0.01,common,{3}{R},['R'],mid
22410,0.01,common,{R},['R'],tsr
22411,0.09,common,{4}{R},['R'],rav
22412,0.25,common,{4}{R},['R'],por
22413,0.42,rare,{1}{W},['W'],6ed
22414,0.01,uncommon,{5}{U},['U'],cmr
22415,0.23,uncommon,{2}{B},['B'],pls
22416,0.19,common,{1}{R},['R'],mm2
22417,0.02,common,{R},['R'],pcy
22418,0.33,uncommon,{1}{R}{R},['R'],mm3
22419,0.29,uncommon,{4}{B}{R},"['B', 'R']",c17
22420,0.13,uncommon,{5}{G}{W},"['G', 'W']",con
22421,0.31,uncommon,{G}{W}{U},"['G', 'U', 'W']",dde
22422,12.48,rare,{B}{B},['B'],ima
22423,0.06,common,{W},['W'],fut
22424,0.10,uncommon,{1}{G},['G'],wth
22425,,common,{1}{R},['R'],me2
22426,,common,{R},['R'],me2
22427,0.07,common,{2}{U},['U'],vis
22428,0.85,rare,{R},['R'],cmb2
22429,0.04,uncommon,,,vow
22430,,uncommon,{1}{U},['U'],tpr
22431,0.31,uncommon,{W}{U}{B},"['B', 'U', 'W']",c13
22432,0.07,common,{2}{B},['B'],akh
22433,2.94,rare,,['G'],tsr
22434,0.04,common,{3}{R}{R},['R'],mbs
22435,,rare,{R}{R}{R},['R'],y22
22436,0.14,common,{1}{W},['W'],thb
22437,0.24,uncommon,{B}{G},"['B', 'G']",ddm
22438,1.07,rare,{1}{G}{U},"['G', 'U']",gtc
22439,,uncommon,{1},[],me3
22440,0.01,uncommon,{1}{G},['G'],tsr
22441,0.04,common,{4}{U},['U'],avr
22442,1.89,uncommon,,[],pls
22443,3.54,uncommon,{2}{B},['B'],mmq
22444,0.28,uncommon,{W},['W'],wwk
22445,0.02,common,{3}{R},['R'],rna
22446,,common,{B},['B'],vma
22447,0.01,common,{2}{G},['G'],eld
22448,0.27,uncommon,{1}{G}{G},['G'],tmp
22449,0.25,uncommon,{3}{G},['G'],c18
22450,0.02,common,{2}{G/U},"['G', 'U']",afc
22451,,common,{2}{R}{R},['R'],me3
22452,0.11,uncommon,{4}{G},['G'],rna
22453,0.08,uncommon,{1}{G},['G'],war
22454,0.04,uncommon,{2}{B},['B'],m19
22455,,common,,"['R', 'W']",teld
